Geneid	/data/users/egraf/RNAseq/5_samtools_sort_2/HER21_sorted.bam	/data/users/egraf/RNAseq/5_samtools_sort_2/HER22_sorted.bam	/data/users/egraf/RNAseq/5_samtools_sort_2/HER23_sorted.bam	/data/users/egraf/RNAseq/5_samtools_sort_2/NonTNBC1_sorted.bam	/data/users/egraf/RNAseq/5_samtools_sort_2/NonTNBC2_sorted.bam	/data/users/egraf/RNAseq/5_samtools_sort_2/NonTNBC3_sorted.bam	/data/users/egraf/RNAseq/5_samtools_sort_2/Normal1_sorted.bam	/data/users/egraf/RNAseq/5_samtools_sort_2/Normal2_sorted.bam	/data/users/egraf/RNAseq/5_samtools_sort_2/Normal3_sorted.bam	/data/users/egraf/RNAseq/5_samtools_sort_2/TNBC1_sorted.bam	/data/users/egraf/RNAseq/5_samtools_sort_2/TNBC2_sorted.bam	/data/users/egraf/RNAseq/5_samtools_sort_2/TNBC3_sorted.bam
ENSG00000117215	140	30	319	53	19	45	3	5	1	79	73	34
ENSG00000230163	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227538	0	0	0	0	0	1	0	0	0	3	0	1
ENSG00000044012	0	0	0	2	0	2	0	0	0	13	2	5
ENSG00000179051	1597	2544	1808	3852	1509	1509	817	2692	3079	2013	2460	2010
ENSG00000215895	0	3	3	12	2	4	5	12	23	5	6	3
ENSG00000126067	479	696	849	2008	695	590	849	1501	1724	1612	705	1130
ENSG00000274944	2	9	1	4	8	4	1	4	0	10	2	0
ENSG00000272078	6	19	15	18	32	18	34	153	98	9	16	14
ENSG00000230451	0	0	0	0	1	2	0	0	1	3	0	0
ENSG00000231606	35	25	18	3	9	11	5	9	2	17	5	4
ENSG00000054118	1627	1393	1401	4296	2114	1972	1246	3632	4260	2496	1808	1454
ENSG00000254553	0	0	0	0	0	0	0	0	0	1	0	2
ENSG00000284653	0	0	0	0	3	0	0	0	0	12	1	1
ENSG00000237749	1	1	0	8	1	3	1	6	1	3	4	0
ENSG00000276747	0	0	0	2	4	9	0	0	0	14	6	15
ENSG00000228776	0	0	0	1	0	1	0	0	0	5	3	0
ENSG00000159339	2	0	0	11	7	15	2	6	0	29	14	8
ENSG00000261781	0	0	0	0	3	1	0	0	0	7	3	3
ENSG00000158315	16	115	20	112	32	27	29	58	39	72	28	53
ENSG00000186973	4	9	5	2	16	6	2	3	4	5	0	5
ENSG00000146463	1208	1273	1384	4274	1238	1526	629	1676	2223	1948	1343	1444
ENSG00000142686	157	102	102	392	230	227	120	184	215	349	171	186
ENSG00000224751	6	23	16	10	8	18	0	0	0	10	4	12
ENSG00000117148	7	59	43	3	6	6	0	0	0	45	83	37
ENSG00000230585	25	62	23	13	18	6	1	10	7	9	11	12
ENSG00000117000	810	2168	945	1382	529	626	1755	5622	8035	860	515	817
ENSG00000284989	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231630	0	0	0	0	0	1	0	0	0	2	0	0
ENSG00000092853	161	493	195	555	158	166	16	30	30	1172	229	333
ENSG00000255811	0	0	1	2	0	1	0	0	0	0	1	1
ENSG00000134697	489	1749	781	2290	753	831	1340	2977	4361	1198	945	743
ENSG00000187513	27	23	19	50	44	51	455	2203	2127	33	44	26
ENSG00000225671	0	0	0	5	0	0	1	1	3	6	0	2
ENSG00000116151	45	47	86	199	161	153	128	188	162	59	63	54
ENSG00000006555	29	153	31	451	16	19	51	109	126	212	200	188
ENSG00000236111	0	0	0	4	0	1	0	0	0	2	1	1
ENSG00000214114	236	662	255	571	326	247	167	295	186	212	107	128
ENSG00000116544	11	10	7	15	11	11	4	4	7	36	7	12
ENSG00000236723	3	1	2	7	1	2	1	0	0	2	3	1
ENSG00000232467	5	11	11	4	2	4	0	0	0	7	4	4
ENSG00000117016	51	77	123	553	58	88	31	67	62	307	178	307
ENSG00000163866	161	319	162	806	267	281	285	502	505	452	272	287
ENSG00000237130	4	16	6	0	1	3	0	0	0	4	0	0
ENSG00000232335	2	1	0	1	0	2	0	0	1	2	0	0
ENSG00000232762	5	36	7	8	8	7	0	0	1	8	3	6
ENSG00000162384	127	254	193	699	272	266	297	494	447	189	192	331
ENSG00000162391	5	2	0	20	3	11	1	2	3	27	10	25
ENSG00000117859	858	1493	783	1670	897	924	757	2746	3107	557	682	511
ENSG00000162396	44	90	40	84	73	69	26	35	36	54	46	64
